,Localidad,Zona,Arsenicoppb
1,Villarino,Costa,24.3
3,Miramar,Costa,44.1
4,Chapadmalal,Costa,37.8
5,Mar del Plata,Costa,18.05
6,Mar Chiquita,Costa,22.2
7,Villa Gesell,Costa,18.4
8,Valeria del Mar,Costa,18.29
9,Pinamar,Costa,3.3
11,Junin,Norte,86.1
13,Pergamino,Norte,67.2
14,Estación Viña,Norte,26.0
15,Arrecifes,Norte,15.7
16,San Antonio de Areco,Norte,36.6
17,San Andrés de Giles,Norte,46.8
18,Mercedes,Norte,21.9
20,Campana,Norte,13.4
21,Zárate,Norte,20.9
22,San Nicolás,Norte,41.2
23,Luján,Norte,23.37
24,25 de Mayo,Norte,38.86
